const_code,region_code,percent_leave,percent_remain
E14000620,E12000002,0.606437746,0.393562254
E14000816,E12000006,0.605981283,0.394018717
E14000575,E12000001,0.604948533,0.395051467
E14001045,E12000006,0.604684297,0.395315703
W07000052,W92000004,0.604499008,0.395500992
E14000743,E12000005,0.604175582,0.395824418
E14000935,E12000004,0.60351001,0.39648999
E14000840,E12000001,0.60304872,0.39695128
E14000959,E12000008,0.60299599,0.39700401
E14000955,E12000008,0.602947341,0.397052659
E14000653,E12000002,0.602891232,0.397108768
E14000861,E12000004,0.6027129,0.3972871
E14000837,E12000009,0.601925003,0.398074997
E14000827,E12000008,0.601781451,0.398218549
E14000648,E12000004,0.601468893,0.398531107
W07000049,W92000004,0.60124484,0.39875516
E14000568,E12000005,0.606179891,0.393820109
E14000540,E12000007,0.599748796,0.400251204
E14000921,E12000003,0.599736792,0.400263208
E14000638,E12000009,0.599639612,0.400360388
E14000982,E12000001,0.55393998,0.44606002
E14000870,E12000002,0.578752339,0.421247661
W07000062,W92000004,0.598838563,0.401161437
E14001060,E12000009,0.598655446,0.401344554
E14000536,E12000008,0.598619474,0.401380526
E14000849,E12000005,0.598481185,0.401518815
E14000826,E12000003,0.598172774,0.401827226
E14001054,E12000002,0.622390111,0.377609889
E14000772,E12000003,0.597896657,0.402103343
E14000548,E12000003,0.596283976,0.403716024
E14000853,E12000001,0.595207188,0.404792812
E14000936,E12000009,0.594456091,0.405543909
E14000915,E12000001,0.594357506,0.405642494
E14000818,E12000005,0.593865282,0.406134718
W07000055,W92000004,0.593309312,0.406690688
E14000992,E12000005,0.593223132,0.406776868
E14000632,E12000004,0.592932532,0.407067468
E14000967,E12000002,0.585204596,0.414795404
E14000647,E12000002,0.591965837,0.408034163
E14000800,E12000006,0.591531961,0.408468039
E14000734,E12000006,0.589955845,0.410044155
E14000862,E12000004,0.589952188,0.410047812
W07000077,W92000004,0.58939917,0.41060083
E14000902,E12000002,0.589357362,0.410642638
W07000074,W92000004,0.589024508,0.410975492
E14000723,E12000003,0.606989747,0.393010253
E14000712,E12000009,0.58812171,0.41187829
E14000812,E12000005,0.581206385,0.418793615
E14000556,E12000003,0.587394756,0.412605244
E14000894,E12000002,0.587308918,0.412691082
E14000700,E12000008,0.58670455,0.41329545
E14000905,E12000005,0.586175818,0.413824182
E14000660,E12000004,0.585894934,0.414105066
E14000652,E12000008,0.584136714,0.415863286
E14000616,E12000009,0.584128528,0.415871472
E14000848,E12000006,0.584002867,0.415997133
E14000962,E12000002,0.583928578,0.416071422
E14000650,E12000005,0.5837436,0.4162564
W07000071,W92000004,0.583543388,0.416456612
E14000688,E12000002,0.583419781,0.416580219
E14000737,E12000007,0.582450013,0.417549987
E14000825,E12000002,0.581856206,0.418143794
E14000940,E12000004,0.581420532,0.418579468
E14000578,E12000002,0.581127597,0.418872403
E14000658,E12000001,0.580996502,0.419003498
E14000949,E12000006,0.580834155,0.419165845
E14001017,E12000002,0.580743911,0.419256089
W07000043,W92000004,0.580533688,0.419466312
E14000847,E12000005,0.580189343,0.419810657
E14000530,E12000008,0.580974479,0.419025521
E14000705,E12000009,0.578888968,0.421111032
E14000799,E12000005,0.578840184,0.421159816
E14000625,E12000004,0.578746718,0.421253282
E14000996,E12000009,0.578205268,0.421794732
E14000649,E12000005,0.577745682,0.422254318
E14000971,E12000001,0.577643917,0.422356083
E14000585,E12000009,0.577317666,0.422682334
E14000557,E12000008,0.577212146,0.422787854
E14000725,E12000002,0.576668684,0.423331316
E14000917,E12000003,0.576526008,0.423473992
W07000044,W92000004,0.575742546,0.424257454
E14000684,E12000008,0.575444606,0.424555394
E14000872,E12000007,0.561972606,0.438027394
E14000975,E12000005,0.575352222,0.424647778
E14000791,E12000005,0.575089022,0.424910978
E14000965,E12000005,0.574625083,0.425374917
E14000897,E12000002,0.579105096,0.420894904
E14000792,E12000004,0.574326337,0.425673663
E14000881,E12000009,0.574193151,0.425806849
E14000851,E12000009,0.572856138,0.427143862
E14000543,E12000002,0.572787064,0.427212936
E14001038,E12000009,0.57201446,0.42798554
