region_code,party_code,party_vote,party_percent,year
E12000001,CON,300883,0.253235905,2015
E12000001,GRN,43051,0.036233549,2015
E12000001,IND,6244,0.005255215,2015
E12000001,LAB,557100,0.468879008,2015
E12000001,LD,77095,0.064886425,2015
E12000001,OTH,203780,0.171509898,2015
E12000002,CON,1050124,0.312160176,2015
E12000002,GRN,107889,0.032071117,2015
E12000002,IND,11538,0.003429789,2015
E12000002,LAB,1502047,0.446498942,2015
E12000002,LD,219998,0.065396672,2015
E12000002,OTH,472459,0.140443304,2015
E12000003,CON,796822,0.326008305,2015
E12000003,GRN,86471,0.035378371,2015
E12000003,IND,8197,0.003353685,2015
E12000003,LAB,956837,0.391476149,2015
E12000003,LD,174069,0.071217837,2015
E12000003,OTH,421781,0.172565653,2015
E12000004,CON,969379,0.434620754,2015
E12000004,GRN,66239,0.029698234,2015
E12000004,IND,2291,0.001027169,2015
E12000004,LAB,705767,0.316430401,2015
E12000004,LD,124039,0.055612845,2015
E12000004,OTH,362687,0.162610597,2015
E12000005,CON,1097750,0.41762108,2015
E12000005,GRN,85653,0.032585287,2015
E12000005,IND,4173,0.00158755,2015
E12000005,LAB,865075,0.329103672,2015
E12000005,LD,145009,0.055166308,2015
E12000005,OTH,430919,0.163936104,2015
E12000006,CON,1445946,0.490380086,2015
E12000006,GRN,116274,0.039433322,2015
E12000006,IND,8889,0.003014628,2015
E12000006,LAB,649321,0.220211604,2015
E12000006,LD,243191,0.082476125,2015
E12000006,OTH,485002,0.164484236,2015
E12000007,CON,1233386,0.3487835,2015
E12000007,GRN,171670,0.048545762,2015
E12000007,IND,2341,0.000662001,2015
E12000007,LAB,1545048,0.43691695,2015
E12000007,LD,272544,0.077071452,2015
E12000007,OTH,311262,0.088020336,2015
E12000008,CON,2234360,0.508460845,2015
E12000008,GRN,227882,0.051857836,2015
E12000008,IND,13232,0.003011132,2015
E12000008,LAB,804774,0.183137931,2015
E12000008,LD,413586,0.09411746,2015
E12000008,OTH,700526,0.159414795,2015
E12000009,CON,1319994,0.465393926,2015
E12000009,GRN,168130,0.059278058,2015
E12000009,IND,20685,0.007292968,2015
E12000009,LAB,501684,0.176880112,2015
E12000009,LD,428927,0.151227976,2015
E12000009,OTH,396874,0.139926961,2015
N92000002,CON,9055,0.012609612,2015
N92000002,DUP,184260,0.256592717,2015
N92000002,GRN,6822,0.00950003,2015
N92000002,IND,19197,0.026732934,2015
N92000002,OTH,322537,0.449151445,2015
N92000002,SF,176232,0.245413262,2015
S92000003,CON,434097,0.149150393,2015
S92000003,GRN,39205,0.013470356,2015
S92000003,IND,2401,0.000824954,2015
S92000003,LAB,707147,0.242967017,2015
S92000003,LD,219675,0.07547763,2015
S92000003,OTH,53504,0.018383317,2015
S92000003,SNP,1454436,0.499726332,2015
W92000004,CON,407813,0.272226869,2015
W92000004,GRN,38344,0.025595719,2015
W92000004,IND,4238,0.002828986,2015
W92000004,LAB,552473,0.368791566,2015
W92000004,LD,97783,0.065272956,2015
W92000004,OTH,215708,0.143991274,2015
W92000004,PC,181704,0.121292629,2015
E12000001,CON,440613,0.344211158,2017
E12000001,GRN,16080,0.012561852,2017
E12000001,LAB,709738,0.554454223,2017
E12000001,LD,58409,0.045629678,2017
E12000001,OTH,5878,0.004591951,2017
E12000001,UKIP,49348,0.038551137,2017
E12000002,CON,1301562,0.361996893,2017
E12000002,GRN,39608,0.011015974,2017
E12000002,LAB,1972632,0.548638217,2017
E12000002,LD,193053,0.05369286,2017
E12000002,OTH,19705,0.005480453,2017
E12000002,UKIP,68946,0.019175604,2017
E12000003,CON,1054099,0.404506796,2017
E12000003,GRN,32661,0.012533544,2017
E12000003,LAB,1276912,0.490010503,2017
E12000003,LD,129687,0.049766932,2017
E12000003,OTH,44727,0.017163829,2017
E12000003,UKIP,67801,0.026018396,2017
E12000004,CON,1195982,0.507318476,2017
E12000004,GRN,34355,0.0145729,2017
E12000004,LAB,954635,0.404942527,2017
E12000004,LD,101612,0.043102359,2017
