region_code,region_name
E12000004,East Midlands
E12000005,West Midlands
E12000006,East
E12000003,Yorkshire and The Humber
E12000007,London
E12000001,North East
E12000002,North West
E12000009,South West
E12000008,South East
N92000002,Northern Ireland
W92000004,Wales
S92000003,Scotland
